property;value;
neck;0.0779677;
shoulderHalfRight;0.199512;
upperarmRight;0.214652;
forearmRight;0.199638;
shoulder;0.362199;
upperBody;0.243007;
hip;0.152413;
lowerBody;0.338582;
body;0.581549;
lowerLegLeft;0.268305;
upperLegLeft;0.446495;
upperLegRight;0.39788;
lowerLegRight;0.364213;
forearmLeft;0.232749;
upperarmLeft;0.273106;
shoulderHalfLeft;0.180598;
neck;0.077968;
shoulderHalfRight;0.199456;
upperarmRight;0.214144;
forearmRight;0.199626;
shoulder;0.362077;
upperBody;0.243008;
hip;0.15245;
lowerBody;0.338577;
body;0.581544;
lowerLegLeft;0.268167;
upperLegLeft;0.446556;
upperLegRight;0.397691;
lowerLegRight;0.364345;
forearmLeft;0.232726;
upperarmLeft;0.27319;
shoulderHalfLeft;0.18056;
neck;0.0779682;
shoulderHalfRight;0.199447;
upperarmRight;0.214391;
forearmRight;0.199624;
shoulder;0.362015;
upperBody;0.243002;
hip;0.152409;
lowerBody;0.338563;
body;0.581525;
lowerLegLeft;0.268178;
upperLegLeft;0.4466;
upperLegRight;0.397411;
lowerLegRight;0.364546;
forearmLeft;0.232717;
upperarmLeft;0.273217;
shoulderHalfLeft;0.180545;
neck;0.0779674;
shoulderHalfRight;0.199382;
upperarmRight;0.214867;
forearmRight;0.199619;
shoulder;0.361935;
upperBody;0.242995;
hip;0.152419;
lowerBody;0.338529;
body;0.581483;
lowerLegLeft;0.266788;
upperLegLeft;0.446517;
upperLegRight;0.39723;
lowerLegRight;0.366501;
forearmLeft;0.232721;
upperarmLeft;0.273176;
shoulderHalfLeft;0.180525;
neck;0.0779589;
shoulderHalfRight;0.199372;
upperarmRight;0.215006;
forearmRight;0.199613;
shoulder;0.361891;
upperBody;0.242969;
hip;0.152397;
lowerBody;0.3385;
body;0.581427;
lowerLegLeft;0.266821;
upperLegLeft;0.446539;
upperLegRight;0.396976;
lowerLegRight;0.366684;
forearmLeft;0.232727;
upperarmLeft;0.273187;
shoulderHalfLeft;0.180518;
neck;0.0779694;
shoulderHalfRight;0.199347;
upperarmRight;0.215428;
forearmRight;0.19961;
shoulder;0.361827;
upperBody;0.242994;
hip;0.152405;
lowerBody;0.338511;
body;0.581464;
lowerLegLeft;0.267128;
upperLegLeft;0.44659;
upperLegRight;0.400602;
lowerLegRight;0.363692;
forearmLeft;0.232743;
upperarmLeft;0.273243;
shoulderHalfLeft;0.180418;
neck;0.0779717;
shoulderHalfRight;0.199327;
upperarmRight;0.215848;
forearmRight;0.199595;
shoulder;0.361688;
upperBody;0.243003;
hip;0.152373;
lowerBody;0.338523;
body;0.581485;
lowerLegLeft;0.267159;
upperLegLeft;0.446609;
upperLegRight;0.400599;
lowerLegRight;0.363631;
forearmLeft;0.232744;
upperarmLeft;0.273186;
shoulderHalfLeft;0.180419;
neck;0.0779682;
shoulderHalfRight;0.199281;
upperarmRight;0.21594;
forearmRight;0.199615;
shoulder;0.361635;
upperBody;0.242994;
hip;0.152375;
lowerBody;0.338506;
body;0.581459;
lowerLegLeft;0.26709;
upperLegLeft;0.446614;
upperLegRight;0.400001;
lowerLegRight;0.364024;
forearmLeft;0.232637;
upperarmLeft;0.273304;
shoulderHalfLeft;0.180456;
neck;0.0779675;
shoulderHalfRight;0.19922;
upperarmRight;0.215887;
forearmRight;0.199611;
shoulder;0.361581;
upperBody;0.242996;
hip;0.152374;
lowerBody;0.338503;
body;0.581458;
lowerLegLeft;0.266894;
upperLegLeft;0.446666;
upperLegRight;0.399487;
lowerLegRight;0.363938;
forearmLeft;0.232648;
upperarmLeft;0.273268;
shoulderHalfLeft;0.180437;
neck;0.0779662;
shoulderHalfRight;0.199228;
upperarmRight;0.215889;
forearmRight;0.199608;
shoulder;0.361546;
upperBody;0.242994;
hip;0.152399;
lowerBody;0.3385;
body;0.581452;
lowerLegLeft;0.267189;
upperLegLeft;0.446794;
upperLegRight;0.399004;
lowerLegRight;0.364393;
forearmLeft;0.232929;
upperarmLeft;0.27306;
shoulderHalfLeft;0.18035;
neck;0.0779479;
shoulderHalfRight;0.1992;
upperarmRight;0.215909;
forearmRight;0.199604;
shoulder;0.361457;
upperBody;0.242967;
hip;0.152392;
lowerBody;0.338471;
body;0.581397;
lowerLegLeft;0.267344;
upperLegLeft;0.44667;
upperLegRight;0.39844;
lowerLegRight;0.36469;
forearmLeft;0.232941;
upperarmLeft;0.272997;
shoulderHalfLeft;0.180322;
neck;0.0779479;
shoulderHalfRight;0.199212;
upperarmRight;0.216079;
forearmRight;0.199597;
shoulder;0.361404;
upperBody;0.242966;
hip;0.152423;
lowerBody;0.338469;
body;0.581395;
lowerLegLeft;0.267327;
upperLegLeft;0.446885;
upperLegRight;0.398083;
lowerLegRight;0.365164;
forearmLeft;0.23289;
upperarmLeft;0.273025;
shoulderHalfLeft;0.180312;
neck;0.0779522;
shoulderHalfRight;0.199186;
upperarmRight;0.216144;
forearmRight;0.199593;
shoulder;0.361349;
upperBody;0.24298;
hip;0.152432;
lowerBody;0.338488;
body;0.581428;
lowerLegLeft;0.266865;
upperLegLeft;0.446875;
upperLegRight;0.398601;
lowerLegRight;0.366219;
forearmLeft;0.232853;
upperarmLeft;0.272953;
shoulderHalfLeft;0.180343;
neck;0.0779417;
shoulderHalfRight;0.199141;
upperarmRight;0.216523;
forearmRight;0.199601;
shoulder;0.361306;
upperBody;0.24295;
hip;0.15248;
lowerBody;0.338451;
body;0.58136;
lowerLegLeft;0.266298;
upperLegLeft;0.446701;
upperLegRight;0.400043;
lowerLegRight;0.364245;
forearmLeft;0.232828;
upperarmLeft;0.272925;
shoulderHalfLeft;0.180353;
neck;0.0779422;
shoulderHalfRight;0.199105;
upperarmRight;0.216215;
forearmRight;0.199613;
shoulder;0.361288;
upperBody;0.242949;
hip;0.152477;
lowerBody;0.338444;
body;0.581352;
lowerLegLeft;0.266073;
upperLegLeft;0.446701;
upperLegRight;0.400367;
lowerLegRight;0.363513;
forearmLeft;0.2328;
upperarmLeft;0.272966;
shoulderHalfLeft;0.180345;
neck;0.0779362;
shoulderHalfRight;0.199067;
upperarmRight;0.21627;
forearmRight;0.199608;
shoulder;0.36123;
upperBody;0.242934;
hip;0.152451;
lowerBody;0.338385;
body;0.581278;
lowerLegLeft;0.266685;
upperLegLeft;0.446739;
upperLegRight;0.399947;
lowerLegRight;0.363873;
forearmLeft;0.232785;
upperarmLeft;0.272955;
shoulderHalfLeft;0.180394;
neck;0.0779454;
shoulderHalfRight;0.199064;
upperarmRight;0.216396;
forearmRight;0.199619;
shoulder;0.361225;
upperBody;0.242954;
hip;0.152443;
lowerBody;0.338406;
body;0.58132;
lowerLegLeft;0.267831;
upperLegLeft;0.446766;
upperLegRight;0.399591;
lowerLegRight;0.363972;
forearmLeft;0.232802;
upperarmLeft;0.272955;
shoulderHalfLeft;0.180412;
neck;0.0779268;
shoulderHalfRight;0.199062;
upperarmRight;0.216448;
forearmRight;0.199628;
shoulder;0.361237;
upperBody;0.242901;
hip;0.152445;
lowerBody;0.338324;
body;0.581184;
lowerLegLeft;0.267896;
upperLegLeft;0.446821;
upperLegRight;0.398938;
lowerLegRight;0.36437;
forearmLeft;0.232838;
upperarmLeft;0.272963;
shoulderHalfLeft;0.180364;
neck;0.0779406;
shoulderHalfRight;0.199074;
upperarmRight;0.21638;
forearmRight;0.199634;
shoulder;0.361207;
upperBody;0.242951;
hip;0.152407;
lowerBody;0.338407;
body;0.581317;
lowerLegLeft;0.267868;
upperLegLeft;0.446665;
upperLegRight;0.398916;
lowerLegRight;0.364192;
forearmLeft;0.232816;
upperarmLeft;0.272958;
shoulderHalfLeft;0.180481;
neck;0.0779501;
shoulderHalfRight;0.199031;
upperarmRight;0.21673;
forearmRight;0.199625;
shoulder;0.36124;
upperBody;0.242972;
hip;0.152431;
lowerBody;0.338437;
body;0.581369;
lowerLegLeft;0.26782;
upperLegLeft;0.446693;
upperLegRight;0.399231;
lowerLegRight;0.363916;
forearmLeft;0.232823;
upperarmLeft;0.273029;
shoulderHalfLeft;0.180526;
neck;0.0779355;
shoulderHalfRight;0.198968;
upperarmRight;0.216617;
forearmRight;0.199627;
shoulder;0.361245;
upperBody;0.242943;
hip;0.152399;
lowerBody;0.338418;
body;0.581319;
lowerLegLeft;0.267808;
upperLegLeft;0.446667;
upperLegRight;0.399277;
lowerLegRight;0.363788;
forearmLeft;0.23275;
upperarmLeft;0.273042;
shoulderHalfLeft;0.180584;
neck;0.0779122;
shoulderHalfRight;0.19958;
upperarmRight;0.21516;
forearmRight;0.199631;
shoulder;0.362769;
upperBody;0.242881;
hip;0.152461;
lowerBody;0.338341;
body;0.58118;
lowerLegLeft;0.267782;
upperLegLeft;0.446735;
upperLegRight;0.399462;
lowerLegRight;0.363657;
forearmLeft;0.232865;
upperarmLeft;0.272984;
shoulderHalfLeft;0.180629;
neck;0.0779096;
shoulderHalfRight;0.199479;
upperarmRight;0.215371;
forearmRight;0.199635;
shoulder;0.362599;
upperBody;0.242871;
hip;0.15249;
lowerBody;0.338325;
body;0.581155;
lowerLegLeft;0.268372;
upperLegLeft;0.446705;
upperLegRight;0.399755;
lowerLegRight;0.36309;
forearmLeft;0.232862;
upperarmLeft;0.273062;
shoulderHalfLeft;0.180654;
neck;0.0779086;
shoulderHalfRight;0.199344;
upperarmRight;0.215288;
forearmRight;0.199642;
shoulder;0.362392;
upperBody;0.242864;
hip;0.152518;
lowerBody;0.338307;
body;0.58113;
lowerLegLeft;0.267579;
upperLegLeft;0.446719;
upperLegRight;0.399546;
lowerLegRight;0.362864;
forearmLeft;0.232999;
upperarmLeft;0.272988;
shoulderHalfLeft;0.180694;
neck;0.0779073;
shoulderHalfRight;0.199306;
upperarmRight;0.215556;
forearmRight;0.199644;
shoulder;0.362321;
upperBody;0.242858;
hip;0.152516;
lowerBody;0.338295;
body;0.581111;
lowerLegLeft;0.266684;
upperLegLeft;0.446705;
upperLegRight;0.399668;
lowerLegRight;0.364381;
forearmLeft;0.23302;
upperarmLeft;0.272986;
shoulderHalfLeft;0.180728;
neck;0.077905;
shoulderHalfRight;0.199309;
upperarmRight;0.215642;
forearmRight;0.199643;
shoulder;0.36229;
upperBody;0.242852;
hip;0.152519;
lowerBody;0.338292;
body;0.581102;
lowerLegLeft;0.26723;
upperLegLeft;0.446278;
upperLegRight;0.399964;
lowerLegRight;0.363649;
forearmLeft;0.233201;
upperarmLeft;0.272959;
shoulderHalfLeft;0.180757;
neck;0.0779003;
shoulderHalfRight;0.199202;
upperarmRight;0.21562;
forearmRight;0.19964;
shoulder;0.3622;
upperBody;0.242852;
hip;0.152538;
lowerBody;0.3383;
body;0.58111;
lowerLegLeft;0.267357;
upperLegLeft;0.446238;
upperLegRight;0.399065;
lowerLegRight;0.364104;
forearmLeft;0.233215;
upperarmLeft;0.272883;
shoulderHalfLeft;0.180796;
neck;0.077891;
shoulderHalfRight;0.199195;
upperarmRight;0.214425;
forearmRight;0.199625;
shoulder;0.362184;
upperBody;0.242825;
hip;0.152534;
lowerBody;0.338267;
body;0.58105;
lowerLegLeft;0.267628;
upperLegLeft;0.446347;
upperLegRight;0.398872;
lowerLegRight;0.364463;
forearmLeft;0.233181;
upperarmLeft;0.272855;
shoulderHalfLeft;0.180846;
neck;0.0779016;
shoulderHalfRight;0.199148;
upperarmRight;0.214682;
forearmRight;0.199624;
shoulder;0.362137;
upperBody;0.242868;
hip;0.152442;
lowerBody;0.338363;
body;0.581189;
lowerLegLeft;0.267876;
upperLegLeft;0.44609;
upperLegRight;0.398348;
lowerLegRight;0.364936;
forearmLeft;0.233195;
upperarmLeft;0.27271;
shoulderHalfLeft;0.180935;
neck;0.0779275;
shoulderHalfRight;0.199119;
upperarmRight;0.214948;
forearmRight;0.199634;
shoulder;0.36211;
upperBody;0.242954;
hip;0.15236;
lowerBody;0.338493;
body;0.581405;
lowerLegLeft;0.267994;
upperLegLeft;0.445781;
upperLegRight;0.397752;
lowerLegRight;0.365216;
forearmLeft;0.233163;
upperarmLeft;0.272621;
shoulderHalfLeft;0.180894;
neck;0.077919;
shoulderHalfRight;0.199152;
upperarmRight;0.214934;
forearmRight;0.199626;
shoulder;0.362085;
upperBody;0.242926;
hip;0.152464;
lowerBody;0.338455;
body;0.58134;
lowerLegLeft;0.268135;
upperLegLeft;0.44561;
upperLegRight;0.397535;
lowerLegRight;0.365371;
forearmLeft;0.233165;
upperarmLeft;0.272572;
shoulderHalfLeft;0.180941;
neck;0.0779266;
shoulderHalfRight;0.199108;
upperarmRight;0.214668;
forearmRight;0.199637;
shoulder;0.362041;
upperBody;0.242941;
hip;0.152476;
lowerBody;0.338461;
body;0.581361;
lowerLegLeft;0.268128;
upperLegLeft;0.445416;
upperLegRight;0.397438;
lowerLegRight;0.364885;
forearmLeft;0.233127;
upperarmLeft;0.272502;
shoulderHalfLeft;0.181008;
neck;0.0779256;
shoulderHalfRight;0.199052;
upperarmRight;0.21473;
forearmRight;0.19962;
shoulder;0.362037;
upperBody;0.242938;
hip;0.152409;
lowerBody;0.338441;
body;0.581337;
lowerLegLeft;0.268351;
upperLegLeft;0.445541;
upperLegRight;0.397092;
lowerLegRight;0.365411;
forearmLeft;0.233157;
upperarmLeft;0.272448;
shoulderHalfLeft;0.18092;
neck;0.0779508;
shoulderHalfRight;0.199175;
upperarmRight;0.214478;
forearmRight;0.199624;
shoulder;0.362032;
upperBody;0.242991;
hip;0.152456;
lowerBody;0.338502;
body;0.581452;
lowerLegLeft;0.268283;
upperLegLeft;0.445286;
upperLegRight;0.397402;
lowerLegRight;0.364736;
forearmLeft;0.233054;
upperarmLeft;0.272313;
shoulderHalfLeft;0.180986;
neck;0.0779727;
shoulderHalfRight;0.199232;
upperarmRight;0.214519;
forearmRight;0.199646;
shoulder;0.362125;
upperBody;0.243058;
hip;0.152307;
lowerBody;0.338592;
body;0.581608;
lowerLegLeft;0.266844;
upperLegLeft;0.444974;
upperLegRight;0.397741;
lowerLegRight;0.364532;
forearmLeft;0.232967;
upperarmLeft;0.272147;
shoulderHalfLeft;0.181055;
neck;0.0779958;
shoulderHalfRight;0.199283;
upperarmRight;0.213802;
forearmRight;0.199651;
shoulder;0.362196;
upperBody;0.243115;
hip;0.152236;
lowerBody;0.338659;
body;0.581732;
lowerLegLeft;0.267006;
upperLegLeft;0.444927;
upperLegRight;0.397221;
lowerLegRight;0.364946;
forearmLeft;0.233016;
upperarmLeft;0.272023;
shoulderHalfLeft;0.181139;
neck;0.078007;
shoulderHalfRight;0.19928;
upperarmRight;0.214059;
forearmRight;0.199652;
shoulder;0.362257;
upperBody;0.24315;
hip;0.152189;
lowerBody;0.338726;
body;0.581834;
lowerLegLeft;0.266962;
upperLegLeft;0.444899;
upperLegRight;0.397741;
lowerLegRight;0.365826;
forearmLeft;0.233153;
upperarmLeft;0.271952;
shoulderHalfLeft;0.181159;
neck;0.0779944;
shoulderHalfRight;0.199323;
upperarmRight;0.214047;
forearmRight;0.199657;
shoulder;0.362302;
upperBody;0.243118;
hip;0.152207;
lowerBody;0.338687;
body;0.581763;
lowerLegLeft;0.267164;
upperLegLeft;0.445134;
upperLegRight;0.39795;
lowerLegRight;0.365259;
forearmLeft;0.233318;
upperarmLeft;0.271931;
shoulderHalfLeft;0.181142;
neck;0.0779733;
shoulderHalfRight;0.199404;
upperarmRight;0.213155;
forearmRight;0.199677;
shoulder;0.362378;
upperBody;0.243053;
hip;0.152195;
lowerBody;0.338608;
body;0.581618;
lowerLegLeft;0.267209;
upperLegLeft;0.445212;
upperLegRight;0.398229;
lowerLegRight;0.364987;
forearmLeft;0.233327;
upperarmLeft;0.271974;
shoulderHalfLeft;0.181112;
neck;0.0779772;
shoulderHalfRight;0.199394;
upperarmRight;0.213547;
forearmRight;0.199694;
shoulder;0.362342;
upperBody;0.24306;
hip;0.152161;
lowerBody;0.338607;
body;0.581625;
lowerLegLeft;0.266973;
upperLegLeft;0.445107;
upperLegRight;0.398343;
lowerLegRight;0.363699;
forearmLeft;0.233392;
upperarmLeft;0.271927;
shoulderHalfLeft;0.180997;
neck;0.077939;
shoulderHalfRight;0.199482;
upperarmRight;0.213691;
forearmRight;0.199714;
shoulder;0.362372;
upperBody;0.24296;
hip;0.152307;
lowerBody;0.338515;
body;0.581432;
lowerLegLeft;0.267475;
upperLegLeft;0.445152;
upperLegRight;0.398397;
lowerLegRight;0.363638;
forearmLeft;0.233372;
upperarmLeft;0.271814;
shoulderHalfLeft;0.180846;
neck;0.0778848;
shoulderHalfRight;0.199569;
upperarmRight;0.213859;
forearmRight;0.199742;
shoulder;0.362415;
upperBody;0.242808;
hip;0.152235;
lowerBody;0.338344;
body;0.581109;
lowerLegLeft;0.267287;
upperLegLeft;0.44523;
upperLegRight;0.398635;
lowerLegRight;0.36336;
forearmLeft;0.233378;
upperarmLeft;0.271811;
shoulderHalfLeft;0.180749;
neck;0.0778801;
shoulderHalfRight;0.199565;
upperarmRight;0.214253;
forearmRight;0.199757;
shoulder;0.362397;
upperBody;0.242783;
hip;0.152229;
lowerBody;0.338282;
body;0.581022;
lowerLegLeft;0.267231;
upperLegLeft;0.445142;
upperLegRight;0.398578;
lowerLegRight;0.363117;
forearmLeft;0.233398;
upperarmLeft;0.271791;
shoulderHalfLeft;0.180767;
neck;0.0778558;
shoulderHalfRight;0.199521;
upperarmRight;0.214176;
forearmRight;0.199771;
shoulder;0.362414;
upperBody;0.242727;
hip;0.152246;
lowerBody;0.338246;
body;0.580931;
lowerLegLeft;0.267269;
upperLegLeft;0.445064;
upperLegRight;0.398374;
lowerLegRight;0.36466;
forearmLeft;0.233333;
upperarmLeft;0.271843;
shoulderHalfLeft;0.180599;
neck;0.0778336;
shoulderHalfRight;0.199641;
upperarmRight;0.214134;
forearmRight;0.199803;
shoulder;0.362383;
upperBody;0.242665;
hip;0.152301;
lowerBody;0.338187;
body;0.580809;
lowerLegLeft;0.266933;
upperLegLeft;0.445102;
upperLegRight;0.398754;
lowerLegRight;0.364839;
forearmLeft;0.233308;
upperarmLeft;0.271857;
shoulderHalfLeft;0.180566;
neck;0.0778251;
shoulderHalfRight;0.19964;
upperarmRight;0.214413;
forearmRight;0.199838;
shoulder;0.362372;
upperBody;0.242637;
hip;0.1523;
lowerBody;0.338149;
body;0.580743;
lowerLegLeft;0.266444;
upperLegLeft;0.445087;
upperLegRight;0.397875;
lowerLegRight;0.364111;
forearmLeft;0.233301;
upperarmLeft;0.271868;
shoulderHalfLeft;0.180583;
neck;0.077801;
shoulderHalfRight;0.199596;
upperarmRight;0.214814;
forearmRight;0.199855;
shoulder;0.362354;
upperBody;0.242588;
hip;0.152352;
lowerBody;0.338043;
body;0.580587;
lowerLegLeft;0.266714;
upperLegLeft;0.445214;
upperLegRight;0.398325;
lowerLegRight;0.363698;
forearmLeft;0.233295;
upperarmLeft;0.271851;
shoulderHalfLeft;0.180545;
neck;0.0778031;
shoulderHalfRight;0.19964;
upperarmRight;0.215569;
forearmRight;0.199869;
shoulder;0.362354;
upperBody;0.242585;
hip;0.152359;
lowerBody;0.338023;
body;0.580564;
lowerLegLeft;0.267139;
upperLegLeft;0.445169;
upperLegRight;0.397939;
lowerLegRight;0.363723;
forearmLeft;0.233305;
upperarmLeft;0.271819;
shoulderHalfLeft;0.18055;
neck;0.0777869;
shoulderHalfRight;0.199569;
upperarmRight;0.215465;
forearmRight;0.199879;
shoulder;0.362376;
upperBody;0.242537;
hip;0.152332;
lowerBody;0.337959;
body;0.580452;
lowerLegLeft;0.267228;
upperLegLeft;0.445133;
upperLegRight;0.397905;
lowerLegRight;0.363732;
forearmLeft;0.233325;
upperarmLeft;0.271818;
shoulderHalfLeft;0.180538;
neck;0.0777941;
shoulderHalfRight;0.1996;
upperarmRight;0.215397;
forearmRight;0.19989;
shoulder;0.362392;
upperBody;0.242579;
hip;0.152217;
lowerBody;0.338045;
body;0.580581;
lowerLegLeft;0.267434;
upperLegLeft;0.444998;
upperLegRight;0.398248;
lowerLegRight;0.363333;
forearmLeft;0.233336;
upperarmLeft;0.271718;
shoulderHalfLeft;0.180454;
neck;0.0777921;
shoulderHalfRight;0.199605;
upperarmRight;0.215552;
forearmRight;0.199898;
shoulder;0.362492;
upperBody;0.242554;
hip;0.15221;
lowerBody;0.337974;
body;0.580486;
lowerLegLeft;0.267488;
upperLegLeft;0.444588;
upperLegRight;0.398275;
lowerLegRight;0.362838;
forearmLeft;0.233363;
upperarmLeft;0.271696;
shoulderHalfLeft;0.180491;
neck;0.0777894;
shoulderHalfRight;0.199581;
upperarmRight;0.215811;
forearmRight;0.199901;
shoulder;0.362541;
upperBody;0.242535;
hip;0.15216;
lowerBody;0.337931;
body;0.580424;
lowerLegLeft;0.267694;
upperLegLeft;0.444488;
upperLegRight;0.398458;
lowerLegRight;0.362708;
forearmLeft;0.233394;
upperarmLeft;0.271486;
shoulderHalfLeft;0.181182;
neck;0.0777978;
shoulderHalfRight;0.199599;
upperarmRight;0.215795;
forearmRight;0.199906;
shoulder;0.362836;
upperBody;0.242564;
hip;0.152164;
lowerBody;0.338042;
body;0.580564;
lowerLegLeft;0.267597;
upperLegLeft;0.444186;
upperLegRight;0.398511;
lowerLegRight;0.362549;
forearmLeft;0.233393;
upperarmLeft;0.271589;
shoulderHalfLeft;0.181119;
neck;0.0777989;
shoulderHalfRight;0.199611;
upperarmRight;0.215884;
forearmRight;0.199912;
shoulder;0.362827;
upperBody;0.242568;
hip;0.152187;
lowerBody;0.338046;
body;0.580572;
lowerLegLeft;0.267912;
upperLegLeft;0.444124;
upperLegRight;0.397327;
lowerLegRight;0.363714;
forearmLeft;0.23327;
upperarmLeft;0.271901;
shoulderHalfLeft;0.181055;
neck;0.0778043;
shoulderHalfRight;0.199624;
upperarmRight;0.215807;
forearmRight;0.1999;
shoulder;0.362805;
upperBody;0.242582;
hip;0.152175;
lowerBody;0.338051;
body;0.580591;
lowerLegLeft;0.26778;
upperLegLeft;0.444153;
upperLegRight;0.396699;
lowerLegRight;0.363961;
forearmLeft;0.23332;
upperarmLeft;0.272019;
shoulderHalfLeft;0.181014;
neck;0.0778085;
shoulderHalfRight;0.199667;
upperarmRight;0.215576;
forearmRight;0.199947;
shoulder;0.362808;
upperBody;0.242595;
hip;0.152188;
lowerBody;0.338072;
body;0.580625;
lowerLegLeft;0.267736;
upperLegLeft;0.444249;
upperLegRight;0.397113;
lowerLegRight;0.36374;
forearmLeft;0.233352;
upperarmLeft;0.271984;
shoulderHalfLeft;0.18098;
neck;0.0778122;
shoulderHalfRight;0.199695;
upperarmRight;0.215503;
forearmRight;0.199934;
shoulder;0.362828;
upperBody;0.242612;
hip;0.1522;
lowerBody;0.338105;
body;0.580675;
lowerLegLeft;0.268087;
upperLegLeft;0.443987;
upperLegRight;0.397391;
lowerLegRight;0.363351;
forearmLeft;0.233302;
upperarmLeft;0.271988;
shoulderHalfLeft;0.180972;
neck;0.0778128;
shoulderHalfRight;0.19971;
upperarmRight;0.215566;
forearmRight;0.199937;
shoulder;0.362851;
upperBody;0.242618;
hip;0.152243;
lowerBody;0.338117;
body;0.580693;
lowerLegLeft;0.268342;
upperLegLeft;0.443954;
upperLegRight;0.396556;
lowerLegRight;0.364436;
forearmLeft;0.23318;
upperarmLeft;0.272365;
shoulderHalfLeft;0.180875;
neck;0.07783;
shoulderHalfRight;0.199719;
upperarmRight;0.215568;
forearmRight;0.199945;
shoulder;0.36279;
upperBody;0.24264;
hip;0.152248;
lowerBody;0.338139;
body;0.580737;
lowerLegLeft;0.26881;
upperLegLeft;0.443995;
upperLegRight;0.396881;
lowerLegRight;0.363691;
forearmLeft;0.233196;
upperarmLeft;0.272509;
shoulderHalfLeft;0.180745;
neck;0.0778497;
shoulderHalfRight;0.199763;
upperarmRight;0.215654;
forearmRight;0.199941;
shoulder;0.362747;
upperBody;0.24268;
hip;0.152231;
lowerBody;0.33816;
body;0.580798;
lowerLegLeft;0.26982;
upperLegLeft;0.443938;
upperLegRight;0.396495;
lowerLegRight;0.364138;
forearmLeft;0.233207;
upperarmLeft;0.272408;
shoulderHalfLeft;0.180766;
neck;0.0778455;
shoulderHalfRight;0.201618;
upperarmRight;0.213244;
forearmRight;0.199949;
shoulder;0.365637;
upperBody;0.242663;
hip;0.152272;
lowerBody;0.338122;
body;0.580743;
lowerLegLeft;0.268232;
upperLegLeft;0.443984;
upperLegRight;0.398479;
lowerLegRight;0.361891;
forearmLeft;0.233256;
upperarmLeft;0.272344;
shoulderHalfLeft;0.18073;
neck;0.0778583;
shoulderHalfRight;0.20229;
upperarmRight;0.212328;
forearmRight;0.199966;
shoulder;0.366722;
upperBody;0.242686;
hip;0.152351;
lowerBody;0.338149;
body;0.580793;
lowerLegLeft;0.268103;
upperLegLeft;0.444082;
upperLegRight;0.397636;
lowerLegRight;0.36263;
forearmLeft;0.233253;
upperarmLeft;0.272366;
shoulderHalfLeft;0.18066;
neck;0.077859;
shoulderHalfRight;0.201972;
upperarmRight;0.212718;
forearmRight;0.199982;
shoulder;0.366137;
upperBody;0.24269;
hip;0.152352;
lowerBody;0.338152;
body;0.580799;
lowerLegLeft;0.268012;
upperLegLeft;0.444072;
upperLegRight;0.397398;
lowerLegRight;0.362736;
forearmLeft;0.233234;
upperarmLeft;0.272245;
shoulderHalfLeft;0.18117;
neck;0.07787;
shoulderHalfRight;0.201747;
upperarmRight;0.213264;
forearmRight;0.19999;
shoulder;0.365916;
upperBody;0.242735;
hip;0.152262;
lowerBody;0.338239;
body;0.580932;
lowerLegLeft;0.26803;
upperLegLeft;0.443962;
upperLegRight;0.39685;
lowerLegRight;0.363351;
forearmLeft;0.233211;
upperarmLeft;0.272255;
shoulderHalfLeft;0.181112;
neck;0.0778867;
shoulderHalfRight;0.202735;
upperarmRight;0.211847;
forearmRight;0.200013;
shoulder;0.367177;
upperBody;0.242769;
hip;0.152283;
lowerBody;0.33824;
body;0.580967;
lowerLegLeft;0.268123;
upperLegLeft;0.444042;
upperLegRight;0.396065;
lowerLegRight;0.364088;
forearmLeft;0.233157;
upperarmLeft;0.272317;
shoulderHalfLeft;0.181006;
neck;0.0779139;
shoulderHalfRight;0.202503;
upperarmRight;0.212187;
forearmRight;0.200053;
shoulder;0.366593;
upperBody;0.242814;
hip;0.152283;
lowerBody;0.33828;
body;0.581052;
lowerLegLeft;0.268099;
upperLegLeft;0.444035;
upperLegRight;0.395861;
lowerLegRight;0.364239;
forearmLeft;0.233163;
upperarmLeft;0.272412;
shoulderHalfLeft;0.180877;
neck;0.0779314;
shoulderHalfRight;0.20233;
upperarmRight;0.212413;
forearmRight;0.200072;
shoulder;0.366093;
upperBody;0.242849;
hip;0.152267;
lowerBody;0.33831;
body;0.581116;
lowerLegLeft;0.268023;
upperLegLeft;0.444078;
upperLegRight;0.39543;
lowerLegRight;0.36458;
forearmLeft;0.233399;
upperarmLeft;0.272115;
shoulderHalfLeft;0.180835;
neck;0.0779466;
shoulderHalfRight;0.202129;
upperarmRight;0.21319;
forearmRight;0.20007;
shoulder;0.365679;
upperBody;0.242887;
hip;0.152294;
lowerBody;0.338334;
body;0.581179;
lowerLegLeft;0.268323;
upperLegLeft;0.444049;
upperLegRight;0.395674;
lowerLegRight;0.364775;
forearmLeft;0.233398;
upperarmLeft;0.272234;
shoulderHalfLeft;0.180728;
neck;0.0780634;
shoulderHalfRight;0.202129;
upperarmRight;0.213297;
forearmRight;0.200082;
shoulder;0.365312;
upperBody;0.243136;
hip;0.152272;
lowerBody;0.338429;
body;0.581524;
lowerLegLeft;0.268306;
upperLegLeft;0.444073;
upperLegRight;0.396075;
lowerLegRight;0.364483;
forearmLeft;0.233276;
upperarmLeft;0.272411;
shoulderHalfLeft;0.181132;
neck;0.0781267;
shoulderHalfRight;0.202094;
upperarmRight;0.213472;
forearmRight;0.2001;
shoulder;0.365186;
