property;value;
lowerBody;0.343342;
body;0.589398;
lowerLegLeft;0.280488;
upperLegLeft;0.42268;
upperLegRight;0.38806;
lowerLegRight;0.364508;
forearmLeft;0.255876;
upperarmLeft;0.250082;
shoulderHalfLeft;0.172803;
neck;0.0790703;
shoulderHalfRight;0.195265;
upperarmRight;0.241404;
forearmRight;0.260799;
shoulder;0.340878;
upperBody;0.246203;
hip;0.152418;
lowerBody;0.343497;
body;0.58966;
lowerLegLeft;0.280258;
upperLegLeft;0.422617;
upperLegRight;0.387611;
lowerLegRight;0.364518;
forearmLeft;0.256619;
upperarmLeft;0.250016;
shoulderHalfLeft;0.172778;
neck;0.0790869;
shoulderHalfRight;0.19545;
upperarmRight;0.244784;
forearmRight;0.256733;
shoulder;0.341032;
upperBody;0.246288;
hip;0.152423;
lowerBody;0.343581;
body;0.589829;
lowerLegLeft;0.280331;
upperLegLeft;0.422051;
upperLegRight;0.3872;
lowerLegRight;0.364397;
forearmLeft;0.255677;
upperarmLeft;0.250179;
shoulderHalfLeft;0.172673;
neck;0.0791049;
shoulderHalfRight;0.195617;
upperarmRight;0.238511;
forearmRight;0.262617;
shoulder;0.34113;
upperBody;0.246336;
hip;0.152419;
lowerBody;0.343683;
body;0.589979;
lowerLegLeft;0.280508;
upperLegLeft;0.421568;
upperLegRight;0.386948;
lowerLegRight;0.364002;
forearmLeft;0.257101;
upperarmLeft;0.250271;
shoulderHalfLeft;0.172745;
neck;0.0791334;
shoulderHalfRight;0.195571;
upperarmRight;0.241845;
forearmRight;0.257118;
shoulder;0.341118;
upperBody;0.246396;
hip;0.152427;
lowerBody;0.343697;
body;0.590054;
lowerLegLeft;0.280919;
upperLegLeft;0.42152;
upperLegRight;0.386959;
lowerLegRight;0.364523;
forearmLeft;0.25777;
upperarmLeft;0.250348;
shoulderHalfLeft;0.173676;
neck;0.0791385;
shoulderHalfRight;0.195608;
upperarmRight;0.24293;
forearmRight;0.253964;
shoulder;0.342403;
upperBody;0.24641;
hip;0.152398;
lowerBody;0.343747;
body;0.590119;
lowerLegLeft;0.280802;
upperLegLeft;0.421523;
upperLegRight;0.38688;
lowerLegRight;0.364625;
forearmLeft;0.255867;
upperarmLeft;0.250282;
shoulderHalfLeft;0.173634;
neck;0.0791581;
shoulderHalfRight;0.19568;
upperarmRight;0.278369;
forearmRight;0.215776;
shoulder;0.342275;
upperBody;0.246457;
hip;0.152439;
lowerBody;0.343846;
body;0.590264;
lowerLegLeft;0.280434;
upperLegLeft;0.421735;
upperLegRight;0.386798;
lowerLegRight;0.364584;
forearmLeft;0.256571;
upperarmLeft;0.250426;
shoulderHalfLeft;0.174242;
neck;0.0791703;
shoulderHalfRight;0.195764;
upperarmRight;0.264775;
forearmRight;0.230387;
shoulder;0.343221;
upperBody;0.246502;
hip;0.152327;
lowerBody;0.343885;
body;0.590348;
lowerLegLeft;0.280681;
upperLegLeft;0.421336;
upperLegRight;0.386723;
lowerLegRight;0.364528;
forearmLeft;0.256731;
upperarmLeft;0.250582;
shoulderHalfLeft;0.174004;
neck;0.0791803;
shoulderHalfRight;0.195854;
upperarmRight;0.273387;
forearmRight;0.221042;
shoulder;0.34302;
upperBody;0.246541;
hip;0.152378;
lowerBody;0.34394;
body;0.590442;
lowerLegLeft;0.28077;
upperLegLeft;0.421076;
upperLegRight;0.386591;
lowerLegRight;0.364419;
